word	phonetic	chinese	english
a	ei	第一个字母 A; 一个; 第一的；art. 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	n. the 1st letter of the Roman alphabet / n. the blood group whose red cells carry the A antigen
abandon	ә'bændәn	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；n. 放任, 无拘束, 狂热	n. the trait of lacking restraint or control; reckless freedom from inhibition or worry / v. forsake, leave behind / v. give up with the intent of never claiming again
abandoned	ә'bændәnd	a. 被抛弃的, 无约束的, 恣意放荡的	s. forsaken by owner or inhabitants / s. free from constraint
ability	ә'biliti	n. 能力, 才干；能力, 才能	n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment / n. possession of the qualities (especially mental qualities) required to do something or get something done
able	'eibl	a. 能干的, 能够的	a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something / s. have the skills and qualifications to do things well / s. having inherent physical or mental ability or capacity
aboard	ә'bɒ:d	adv. 在船上, 在火车上, 在飞机上；prep. 在...之上	r. on a ship, train, plane or other vehicle / r. on first or second or third base / r. side by side
abolish	ә'bɒliʃ	vt. 废止, 革除, 消灭；废除, 取消, 裁撤	v. do away with
abortion	ә'bɒ:ʃәn	n. 流产, 堕胎, 失败, 夭折, 中止；流产, 小产; 顿挫	n. termination of pregnancy
abound	ә'baund	vi. 大量存在, 富于, 充满	v. be abundant or plentiful; exist in large quantities / v. be in a state of movement or action
about	ә'baut	prep. 在...周围, 大约, 有关, 关于；adv. 大约, 四处, 在附近, 周围	s. on the move / r. all around or on all sides / r. in the area or vicinity
above	ә'bʌv	prep. 在上方, 超出；adv. 在上面；a. 上述的, 上面的	n. an earlier section of a written text / s. appearing earlier in the same text / r. at an earlier place
abroad	ә'brɒ:d	adv. 往国外, 到室外, 到处；a. 往国外的, 在室外的, 广泛四散的	s. in a foreign country / r. to or in a foreign country
abruptly	ә'brʌptli	adv. 突然地, 唐突地	r. quickly and without warning
absence	'æbsәns	n. 缺席, 缺乏, 没有；失神	n. the state of being absent / n. failure to be present / n. the time interval during which something or somebody is away
absent	'æbsәnt	a. 缺席的, 不在的, 缺乏的, 漫不经心的；vt. 使缺席	v. go away or leave / a. not being in a specified place / s. lost in thought; showing preoccupation
absolute	'æbsәlu:t	a. 绝对的, 专制的, 完全的, 独立的；n. 绝对事物	n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative / a. perfect or complete or pure / s. complete and without restriction or qualification; sometimes used informally as intensifiers
absolutely	'æbsәlu:tli	adv. 完全地, 绝对地, 确确实实地	r. completely and without qualification; used informally as intensifiers / r. totally and definitely; without question
absorb	әb'sɒ:b	vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担；吸收	v. become imbued / v. take up mentally / v. take up, as of debts or payments
abstract	'æbstrækt	a. 抽象的, 深奥的；n. 摘要, 抽象概念；vt. 摘要, 提炼, 使抽象化	v. consider a concept without thinking of a specific example; consider abstractly or theoretically / v. consider apart from a particular case or instance / v. give an abstract (of)
absurd	әb'sә:d	a. 荒谬的, 不合理的, 可笑的；n. 荒诞	n. a situation in which life seems irrational and meaningless / s. inconsistent with reason or logic or common sense / s. incongruous; inviting ridicule
abundance	ә'bʌndәns	n. 丰富, 充足, 大量；丰富, 充裕	n. the property of a more than adequate quantity or supply / n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present / n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million
abundant	ә'bʌndәnt	a. 丰富的, 充分的, 大量的	a. present in great quantity
abuse	ә'bju:s.ә'bju:z	n. 滥用, 虐待, 恶习, 辱骂；vt. 滥用, 辱骂, 虐待	n. a rude expression intended to offend or hurt / v. use foul or abusive language towards / v. use wrongly or improperly or excessively
abusive	ә'bju:siv	a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的	s. expressing offensive reproach / s. characterized by physical or psychological maltreatment
academic	.ækә'demik	a. 学院的, 学术的, 不切实际的；n. 大学生, 大学教师, 学者, 学会会员	a. associated with academia or an academy / s. hypothetical or theoretical and not expected to produce an immediate or practical result / s. marked by a narrow focus on or display of learning especially its trivial aspects
academy	ә'kædәmi	n. 学院, 院校, 学会	n. a secondary school (usually private) / n. an institution for the advancement of art or science or literature / n. a school for special training
accelerate	әk'selәreit	v. 加速, 促进	v. move faster / v. cause to move faster
accent	'æksәnt	n. 重音, 口音, 特点, 注重点；vt. 重读, 加重音号于, 强调	n. distinctive manner of oral expression / n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
accept	әk'sept	vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍；vi. 同意	v. consider or hold as true / v. receive willingly something given or offered / v. give an affirmative reply to; respond favorably to
acceptable	әk'septәbl	a. 可接受的, 合意的, 可忍受的	a. worthy of acceptance or satisfactory / s. judged to be in conformity with approved usage / s. adequate for the purpose
acceptance	әk'septәns	n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信；承兑, 认付, (工程)验收	n. the state of being acceptable and accepted / n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract) / n. banking: a time draft drawn on and accepted by a bank
accepted	әk'septid	a. 公认的, 一般承认的；已承兑, 已认付	s. generally approved or compelling recognition
access	'ækses	n. 通路, 入口, 接近, 进入, 使用权, 发作；vt. 访问, 存取, 接近, 使用；访问, 存取	n. the right to obtain or make use of or take advantage of something (as services or membership) / n. a way of entering or leaving / n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
accessible	әk'sesәbl	a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的	a. capable of being reached / s. capable of being read with comprehension / s. easily obtained
accessory	әk'sesәri	n. 附件, 零件, 附加物, 从犯, 同谋；a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的；附件	n. clothing that is worn or carried, but not part of your main clothing / n. a supplementary component that improves capability / n. someone who helps another person commit a crime
accident	'æksidәnt	n. 意外事件, 机遇, 事故, 次要方面；意外事故; 事故	n. an unfortunate mishap; especially one causing damage or injury / n. anything that happens suddenly or by chance without an apparent cause
accidental	.æksi'dentl	a. 意外的, 偶然的, 非主要的, 附属的；n. 临时记号, 次要方面	n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature / s. happening by chance or unexpectedly or unintentionally
accidentally	.æksi'dentli	adv. 偶然地, 意外地	r without advance planning / r of a minor or subordinate nature / r without intention; in an unintentional manner
accommodate	ә'kɒmәdeit	vt. 使适应, 调和, 通融, 容纳, 向...提供；vi. 适应	v. provide with something desired or needed / v. have room for; hold without crowding / v. make (one thing) compatible with (another)
accommodation	ә.kɒmә'deiʃәn	n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款；调节(眼); 适应	n. a settlement of differences / n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality / n. living quarters provided for public convenience
accompany	ә'kʌmpәni	vt. 陪伴, 伴随, 补充, 为...伴奏；vi. 伴奏, 伴唱	v. go or travel along with
accompanying		a. 随同的, 附见的	v be present or associated with an event or entity / v go or travel along with / v perform an accompaniment to
accomplish	ә'kʌmpliʃ	vt. 完成, 达到, 实现, 使完美	v put in effect / v to gain with effort
accomplishment	ә'kʌmpliʃmәnt	n. 成就, 完成	n. the action of accomplishing something
accord	ә'kɒ:d	n. 一致, 调和, 协定；vt. 给与, 使一致；vi. 相符合	n. concurrence of opinion / n. sympathetic compatibility / v. allow to have
according	ә'kɒ:diŋ	a. 相符的, 根据...而定的；adv. 相应地	s. (followed by `to') in agreement with or accordant with / s. (followed by `to') as reported or stated by
accordingly	ә'kɒ:diŋli	adv. 相应地, 因此, 于是	r. in accordance with
account	ә'kaunt	n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目；vi. 报帐, 解释, 导致, 报偿, 占, 杀死；vt. 认为	n. a formal contractual relationship established to provide for regular banking or brokerage or business services / n. importance or value / n. a statement of recent transactions and the resulting balance
accountability	ә.kauntә'biliti	n. 负有责任, 可说明性；衡算计量	n. responsibility to someone or for some activity
accountable	ә'kauntәbl	a. 负有责任的, 可说明的, 可解释的；负有责任的	s. liable to account for one's actions
accountant	ә'kauntәnt	n. 会计人员, 会计师；会计师, 会计人员	n. someone who maintains and audits business accounts
accounting	ә'kauntiŋ	n. 会计学, 帐单, 清帐；帐户处理, 记帐	n. a convincing explanation that reveals basic causes / n. a system that provides quantitative information about finances / n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts
accumulate	ә'kju:mjuleit	v. 积聚, 堆积	v. collect or gather
accuracy	'ækjurәsi	n. 精确, 正确；准确度	n. the quality of being near to the true value / n. (mathematics) the number of significant figures given in a number
